Название,Средний балл,Количество мест,Количество образовательных программ,Город
КубГМУ,64.2,572,5,Краснодар
КЧГУ им. У.Д. Алиева,46.2,794,34,Карачаево-Черкесская Республика
СОГУ,56.4,650,46,Северная Осетия
МИИГАиК,55.2,664,19,Москва
МичГАУ,51.4,712,35,Тамбов
МГУ им. адм. Г.И. Невельского,42.3,862,24,Владивосток
МГППУ,68.4,532,26,Москва
ЮУГМУ,59.9,607,6,Челябинск
КГМУ,71.6,501,9,Татарстан
ННГАСУ,50.6,706,25,Нижний Новгород
СГУПС,50.6,705,30,Новосибирск
АГТУ,47.0,754,40,Астрахань
АГМУ,52.0,677,6,Алтайский край
ИрГУПС,41.7,844,29,Иркутск
МГТУ,51.3,685,30,Мурманск
Алтайский ГАУ,44.6,784,32,Алтайский край
КемГМУ,50.2,691,9,Кемерово
УГТУ,43.1,796,22,Коми
Иркутский ГАУ,41.0,835,25,Иркутск
ОрГМУ,60.7,564,7,Оренбург
МГТУ,48.6,702,39,Адыгея
ИжГСХА,40.4,844,47,Удмуртия
ВГУИТ,50.8,669,88,Воронеж
УИ ГА,61.9,542,14,Ульяновск
СПбГЭУ,78.7,420,31,Санкт-Петербрг
ГУУ,79.5,414,65,Москва
НГАСУ,48.3,663,20,Новосибирск
ЯГМУ,70.1,456,7,Ярославль
СПбГУГА,56.8,560,20,Санкт-Петербрг
ПГАТУ,46.1,688,44,Пермь
СПбГИК,75.4,420,25,Санкт-Петербрг
УГГУ,51.2,618,39,Екатеринбург
ИГМА,63.7,495,3,Удмуртия
АГГПУ им. В.М. Шукшина,45.1,697,22,Алтайский край
ВГУВТ,45.9,676,22,Нижний Новгород
РГГМУ,53.0,585,29,Санкт-Петербрг
СКГМИ (ГТУ),44.6,694,40,Северная Осетия
СмолГУ,59.2,519,44,Смоленск
НГУЭУ,72.0,420,26,Новосибирск
АмГПГУ,58.2,518,43,Хабаровск
Бурятская ГСХА,49.9,593,24,Бурятия
ШГПУ,55.5,533,32,Курган
ИГХТУ,49.8,593,54,Иваново
ЕГУ им. И.А. Бунина,45.5,647,45,Липецк
ИГМУ,64.0,456,8,Иркутск
КГАУ,44.6,652,22,Татарстан
СПбГУВМ,58.6,492,4,Санкт-Петербрг
ПГМУ им. академика Е.А. Вагнера,56.6,505,6,Пермь
ОмГМУ,71.9,395,5,Омск
